month_year,mean_AQI,days_above_100,GIS_ACRES,log_acres,date_column
2016-01,72.6774193548387,1,0,0,2016-01-01
2016-02,73.55172413793103,3,11.3253,1.0540497150220818,2016-02-01
2016-03,73.6774193548387,5,0,0,2016-03-01
2016-04,75.03333333333333,6,165.56118999999998,2.218958539307462,2016-04-01
2016-05,72.09677419354838,5,160.54125000000002,2.205586640140623,2016-05-01
2016-06,132.66666666666666,22,5887.050921999999,3.769897792402616,2016-06-01
2016-07,131.16129032258064,28,42280.35228000001,4.6261385971931634,2016-07-01
2016-08,122.06451612903226,23,8.233409,0.915579689811031,2016-08-01
2016-09,86.63333333333334,6,28.479779999999998,1.4545366301489813,2016-09-01
2016-10,70.58064516129032,2,191.98790000000002,2.2832738582409244,2016-10-01
2016-11,71.63333333333334,0,47.8750196,1.6801089647765768,2016-11-01
2016-12,74.74193548387096,3,4.79898,0.6811489399912384,2016-12-01
2018-01,79.38709677419355,4,2.60056,0.4150668782486365,2018-01-01
2018-02,71.25,3,0.0252699,-1.5973964767003512,2018-02-01
2018-03,62.29032258064516,1,0,0,2018-03-01
2018-04,78.56666666666666,7,7.76794,0.8903058623982042,2018-04-01
2018-05,80.19354838709677,6,33.058707000000005,1.5192858633386788,2018-05-01
2018-06,115.56666666666666,22,1588.6912470000002,3.2010395027749627,2018-06-01
2018-07,118.74193548387096,18,111.354,2.0467058221489185,2018-07-01
2018-08,118.16129032258064,19,9.17901,0.9627958429961866,2018-08-01
2018-09,104.76666666666667,15,3720.85078,3.5706422535415445,2018-09-01
2018-10,71.51612903225808,4,4.849867,0.6857298289201831,2018-10-01
2018-11,74.96666666666667,5,89572.4837409,4.952174616862805,2018-11-01
2018-12,74.64516129032258,4,2.18085,0.3386257956050372,2018-12-01
2020-01,77.6774193548387,5,0,0,2020-01-01
2020-02,66.20689655172414,0,0,0,2020-02-01
2020-03,50,0,0,0,2020-03-01
2020-04,80.33333333333333,8,0,0,2020-04-01
2020-05,101.61290322580645,12,19.89153,1.2986681891074452,2020-05-01
2020-06,94.96666666666667,13,167.24002,2.2233402108150497,2020-06-01
2020-07,134.58064516129033,24,2743.6445299999996,3.438327842945867,2020-07-01
2020-08,136.25806451612902,23,38280.283939999994,4.582975150450623,2020-08-01
2020-09,162.46666666666667,28,116263.33856999999,5.065442789820357,2020-09-01
2020-10,122.16129032258065,17,23.21563,1.3657804735637333,2020-10-01
2020-11,77.76666666666667,2,128.171,2.1077897727281223,2020-11-01
2020-12,83.93548387096774,5,8.79794,0.9443809958588747,2020-12-01
2022-01,74.96774193548387,2,0,0,2022-01-01
2022-02,67.96428571428571,0,3.73554,0.5723533911764991,2022-02-01
2022-03,62.516129032258064,0,0,0,2022-03-01
2022-04,74.33333333333333,4,2.59318,0.41383266343096903,2022-04-01
2022-05,89.38709677419355,9,48.4014,1.6848579236998107,2022-05-01
2022-06,117.36666666666666,18,32.15083,1.5071921890725923,2022-06-01
2022-07,115.12903225806451,22,2.50123,0.3981536290108388,2022-07-01
2022-08,111.7741935483871,19,5689.661859999999,3.755086456781752,2022-08-01
2022-09,96.3,11,13.73591,1.1378574365914578,2022-09-01
2022-10,78.38709677419355,5,8.864650000000001,0.9476615931722023,2022-10-01
2022-11,66.76666666666667,1,0,0,2022-11-01
2022-12,71.03225806451613,3,0,0,2022-12-01
