COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,STCNTY,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE
Orange,54.54246575342465,2022,6.7,(5.5-7.9),06059,06059,792.857361234164,3175227,1130658,1066286,506661,90700,275579,289458,217938,488359,680041,288217,52544,265062,1954051,225367,29954,93131,49514,50842,16.1,5.4,25.8,13.2,6.9,15.4,21.4,9.1,4.9,8.8,61.5,20,2.6,8.8,4.6,1.6,0.2456,0.2632,0.3158,0.5614,0.5789,1.9649,0.3509,0.386,0.5439,0.0526,0.4035,0.7018,2.0878,0.2982,0.6491,0.6491,0.6491,0.8772,0.1404,0.8421,0.2807,0.2281,2.3685,0.4211,7.0703,0.3684,3474418,66696,48898,1077367,682736,3771,8655,121149,11475,6.3,1.5,33.9,21.5,0.1,0.3,3.8,0.4
Placer,63.08767123287669,2022,10.4,(8.2-12.7),06061,06061,1407.085755339046,406608,173090,152537,44356,8466,35956,14496,13509,81151,89190,45393,6836,6748,126648,13343,4792,3215,5740,5163,11,4.3,23.6,5.1,3.3,20,21.9,11.2,4.5,1.7,31.1,7.7,2.8,2.1,3.8,1.3,0.0351,0.0175,0.1754,0.0351,0,0.2631,0,0.6491,0.5789,0.2281,0.2807,0.193,1.9298,0.2281,0.2456,0.2456,0.2456,0.5263,0.1754,0.0526,0.1053,0.1404,1,0.0175,3.4385,0,421650,10857,6389,60469,35057,903,568,21522,1740,7.1,1.6,14.9,8.6,0.2,0.1,5.3,0.4
Plumas,58.278551532033454,2022,9,(3.4-14.6),06063,06063,2553.061162870744,19650,15436,8104,3476,667,1925,899,965,5814,3412,3546,249,112,3528,340,1546,218,361,430,18,8,23.8,5.9,5,29.6,17.4,18.2,3,0.6,18,2.2,10,2.7,4.5,2.2,0.3509,0.7895,0.193,0.0702,0.193,1.5966,0.2807,0.9649,0.1579,0.8772,0.0526,0,2.0526,0.2632,0.0351,0.0351,0.0351,0.0702,0.7895,0.1754,0.2456,0.5088,1.7895,0.1228,5.4738,0.1228,20020,1246,225,1959,110,203,40,977,14,15.4,1.1,10,0.6,1,0.2,5,0.1
Riverside,103.66849315068501,2022,8.3,(7-9.6),06065,06065,7209.23715958189,2429487,851646,749976,471059,77625,226640,269031,193874,359162,597531,279746,46621,170207,1641404,66012,73733,55498,30337,38475,19.7,6.7,30.2,16.9,8.1,14.8,24.6,11.6,6.3,7.5,67.6,7.7,8.7,7.4,4,1.6,0.4035,0.5439,0.5789,0.6842,0.7719,2.9824,0.614,0.3333,0.7193,0.3158,0.7018,0.614,2.6842,0.6667,0.7544,0.7544,0.7544,0.5263,0.7368,0.7193,0.1579,0.2281,2.3684,0.4035,8.7894,0.614,2201000,61242,148072,1233277,161597,7457,6771,75626,8604,8.2,6.1,50.8,6.7,0.3,0.3,3.1,0.4
Sacramento,59.8958904109589,2022,12.2,(10.1-14.4),06067,06067,965.279327514816,1579211,588894,563856,326606,50165,173550,125208,80933,230399,365288,192518,38583,92721,912521,77566,13540,32335,34973,25735,20.9,6.3,30.8,11.6,5.2,14.6,23.1,12.3,6.9,6.3,57.8,13.2,2.3,5.7,6.2,1.6,0.4561,0.4737,0.6667,0.4737,0.2105,2.2807,0.4211,0.2807,0.6842,0.4211,0.7368,0.5263,2.6491,0.6491,0.614,0.614,0.614,0.807,0.1228,0.5263,0.7544,0.2281,2.4386,0.4737,7.9824,0.5263,1630416,40559,145484,378350,267722,4428,17204,91897,7436,7.2,9.2,24,17,0.3,1.1,5.8,0.5
San Benito,43.68493150684932,2022,7.1,(4.2-10.1),06069,06069,1388.65101110067,64753,20485,19852,9242,2127,4432,6899,4024,8524,16474,6899,1324,5503,44677,490,740,1381,631,358,14.4,6.2,22.3,16.3,6.2,13.2,25.4,10.7,6.6,9.1,69,2.4,3.6,7,3.2,0.6,0.1404,0.4211,0.1228,0.6491,0.4035,1.7369,0.3158,0.1579,0.7368,0.1754,0.7193,0.7368,2.5262,0.5614,0.807,0.807,0.807,0.1053,0.2456,0.6842,0.0526,0,1.0877,0.0877,6.1578,0.2632,50218,1361,541,39768,1888,201,109,2125,45,6.9,0.8,61.4,2.9,0.3,0.2,3.3,0.1
San Bernardino,96.02739726027393,2022,9.9,(8.4-11.3),06071,06071,20068.157665243383,2180563,733104,659928,501642,73890,213399,258388,183955,259927,564737,243952,50580,153635,1616784,76647,41493,59941,29933,42848,23.5,7.2,32.3,18.6,8.6,11.9,25.9,11.4,7.7,7.5,74.1,10.5,5.7,9.1,4.5,2,0.5965,0.5965,0.807,0.7368,0.807,3.5438,0.807,0.0702,0.7895,0.2807,0.8421,0.614,2.5965,0.5965,0.9474,0.9474,0.9474,0.7193,0.4737,0.8596,0.2456,0.4035,2.7017,0.5965,9.7894,0.8246,2126853,61385,163402,1200147,163835,6234,6445,68421,8300,9.3,7.5,55,7.5,0.3,0.3,3.1,0.4
San Diego,68.58356164383561,2022,8.5,(7.5-9.5),06073,06073,4210.264493040512,3289701,1230349,1149157,561304,106617,337243,254837,231067,481993,697372,331418,61885,187078,1856103,274676,42373,78764,62302,99654,17.5,6.3,29.3,11.3,7.3,14.7,21.2,10.4,5.4,6,56.4,22.3,3.4,6.8,5.4,3,0.2982,0.4737,0.4912,0.4386,0.6667,2.3684,0.4386,0.3158,0.4912,0.1228,0.4912,0.5088,1.9298,0.2281,0.5439,0.5439,0.5439,0.9298,0.2281,0.6491,0.5439,0.6491,3,0.7368,7.8421,0.4912,3445212,71504,149105,1134647,387969,9338,12385,148992,13667,6.2,4.5,34.5,11.8,0.3,0.4,4.5,0.4
San Francisco,39.02747252747251,2022,7.5,(5.4-9.5),06075,06075,46.736020838376,851036,408198,360842,135610,28177,76132,76277,30406,142119,115402,91697,10560,88324,525136,160199,414,24049,107954,23369,16.2,5.4,21.1,11.2,3.6,16.7,13.6,10.8,2.9,10.8,61.7,39.2,0.1,6.7,29.9,2.7,0.2632,0.2632,0.0877,0.4211,0.0175,1.0527,0.1228,0.5088,0,0.193,0.0351,0.8772,1.6141,0.0526,0.6842,0.6842,0.6842,1,0,0.6316,1,0.5965,3.2281,0.8772,6.5791,0.3158,1081922,29983,41934,131517,294027,1758,3010,46931,5959,8.3,4.9,15.5,34.5,0.2,0.4,5.5,0.7
San Joaquin,54.49589041095887,2022,10.6,(8.3-13),06077,06077,1392.237029565068,779445,252327,237423,166596,26331,69616,98025,49738,101414,207464,93701,18469,67320,555868,21738,8253,20266,12376,17746,21.8,7.2,29.3,19.8,6.5,13,26.6,12.2,7.7,9.3,71.3,8.6,3.3,8.5,5.2,2.3,0.5263,0.5965,0.4912,0.807,0.4561,2.8771,0.5614,0.1228,0.8246,0.386,0.8421,0.7719,2.9474,0.7719,0.8772,0.8772,0.8772,0.5789,0.2105,0.807,0.4737,0.5263,2.5964,0.5614,9.2981,0.7368,767676,24085,52568,331382,130109,1931,4310,32828,2740,10.1,6.7,42.5,16.7,0.2,0.6,4.2,0.4
San Luis Obispo,56.63561643835616,2022,9,(5.1-12.9),06079,06079,3300.847970845918,281712,123968,108099,48761,6905,31425,15066,16279,59439,49037,36013,4070,8090,93376,7300,9314,3900,4084,14606,18.2,5,29.1,7.9,5.9,21.1,17.4,13,3.8,3,33.1,5.9,7.5,3.6,3.8,5.2,0.3684,0.1579,0.4561,0.193,0.2982,1.4736,0.2105,0.7018,0.1579,0.5614,0.1404,0.3333,1.8948,0.193,0.2807,0.2807,0.2807,0.4211,0.6667,0.2632,0.1053,0.8772,2.3335,0.3509,5.9826,0.2105,284312,9142,3349,65946,9571,669,401,12158,1282,8.5,1.2,23.4,3.4,0.2,0.1,4.3,0.5
San Mateo,39.46849315068493,2022,7.6,(6-9.3),06081,06081,448.605331919206,754250,284211,264323,77460,19184,50757,51598,28253,127520,150187,65466,9372,46949,475035,62701,3111,19366,14752,12030,10.3,4.5,19.2,9.4,3.8,16.9,19.9,8.7,3.5,6.6,63,22.1,1.1,7.3,5.6,1.6,0,0.0702,0.0351,0.2632,0.0526,0.4211,0.0175,0.5263,0.3158,0.0351,0.1228,0.5789,1.5789,0.0175,0.7018,0.7018,0.7018,0.9123,0.0175,0.7018,0.6316,0.2281,2.4913,0.4912,5.1931,0.0877,758154,14371,16015,180393,228200,976,8827,34746,5878,5.4,2.1,23.9,30.3,0.1,1.2,4.6,0.8
Santa Barbara,48.58356164383562,2022,9.8,(7.3-12.4),06083,06083,2733.933544396764,445213,158807,148032,95923,13414,43329,49700,42117,70948,98581,47547,7732,42843,255584,22575,7212,15215,9256,21595,22.6,6,29.3,17.9,9.6,15.9,22.1,10.9,5.2,10.2,57.4,14.2,4.5,10.3,6.3,4.9,0.5439,0.386,0.4912,0.7193,0.9123,3.0527,0.6667,0.4386,0.614,0.2105,0.4737,0.8246,2.5614,0.5789,0.5965,0.5965,0.5965,0.8246,0.4035,0.9298,0.7895,0.8421,3.7895,1,10.0001,0.8421,484380,12089,7763,207576,23531,1380,389,13316,1629,8.2,1.7,46.6,5.3,0.3,0.1,3,0.4
Santa Clara,51.29589041095889,2022,7.4,(6.2-8.6),06085,06085,1291.083668135746,1916831,688287,650352,206855,46592,118739,143756,75855,269943,405816,163504,26990,157502,1357720,159582,19451,50685,37467,39059,11,4.4,18.3,10.7,4,14.1,21.2,8.6,4.1,8.7,70.8,23.2,2.8,7.8,5.8,2,0.0351,0.0351,0.0175,0.3509,0.0702,0.5088,0.0351,0.2105,0.4912,0.0175,0.193,0.6842,1.5964,0.0351,0.8596,0.8596,0.8596,0.9649,0.1754,0.7719,0.7018,0.4035,3.0175,0.7544,5.9823,0.193,2078044,34056,43576,476352,742635,2973,6496,77773,7915,5.2,2.3,24.9,38.7,0.2,0.3,4.1,0.4
Santa Cruz,37.673972602739745,2022,8.5,(5.1-12),06087,06087,445.105369412976,268571,106433,96487,46138,8465,24296,20341,14496,47668,50320,31335,4270,16050,118885,8814,6744,6557,5040,13816,17.9,5.9,25.2,11.3,5.4,17.7,18.7,11.7,4.4,6.3,44.3,8.3,6.3,6.8,5.2,5.1,0.3158,0.3509,0.2632,0.4386,0.2281,1.5966,0.2807,0.5614,0.193,0.3333,0.2281,0.5263,1.8421,0.1579,0.4561,0.4561,0.4561,0.5614,0.5088,0.6491,0.4737,0.8596,3.0526,0.807,6.9474,0.3509,263765,7065,2193,91923,12536,182,452,10275,1324,7.3,0.8,34.2,4.7,0.1,0.2,3.8,0.5
Shasta,49.55616438356166,2022,5.7,(3.5-7.8),06089,06089,3775.65011419784,181852,79626,71107,38675,5349,21968,10445,11911,38339,39190,32564,4251,1646,41185,3950,9029,2245,4360,3512,21.6,6.6,30.9,8.1,6.6,21.1,21.6,18.1,6,1,22.6,5,11.3,3.1,6.1,1.9,0.5088,0.5263,0.6842,0.2105,0.4912,2.421,0.4912,0.7018,0.5614,0.8421,0.6316,0.0877,2.8246000000000002,0.7018,0.1053,0.1053,0.1053,0.4035,0.8246,0.2281,0.7193,0.3509,2.5264,0.5439,7.8773,0.5088,184749,7918,1740,19988,5507,2671,185,10597,497,11.1,1,11,3,1.5,0.1,5.8,0.3
Siskiyou,44.58839779005524,2022,9,(3.4-14.6),06093,06093,6278.76494396946,44049,23013,18768,11734,1337,5764,3035,3110,11610,8872,7918,845,563,11360,769,2865,669,1043,807,26.9,7.4,30.7,9.4,7.1,26.4,20.1,18,4.5,1.3,25.8,3.3,12.4,3.5,5.6,1.8,0.7719,0.6316,0.6491,0.2632,0.614,2.9298,0.5965,0.8421,0.3684,0.8246,0.2807,0.1579,2.4737,0.5263,0.193,0.193,0.193,0.1754,0.8596,0.2456,0.6316,0.3158,2.228,0.2982,7.8245,0.4737,42161,2888,682,5957,693,1234,183,2528,83,15.4,1.5,13.5,1.6,2.8,0.4,5.7,0.2
Solano,45.92602739726027,2022,10.9,(7.5-14.3),06095,06095,821.735915150648,450995,162513,154987,65342,13275,40402,34777,21383,74541,98997,54458,9513,20775,290961,16003,4363,8088,7158,10404,14.8,5.9,26.1,11.1,4.9,16.5,22,12.4,6.1,4.9,64.5,9.9,2.7,5.2,4.6,2.3,0.1754,0.3509,0.3333,0.4035,0.1754,1.4385,0.193,0.4912,0.5965,0.4561,0.6491,0.4561,2.649,0.6316,0.7193,0.7193,0.7193,0.6667,0.1579,0.4912,0.2807,0.5263,2.1228,0.2632,6.9296,0.3333,407618,10745,58379,126198,69009,1592,3746,28784,3253,6.9,12.9,28,15.3,0.4,0.8,6.4,0.7
