COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_UNINSUR,EP_UNINSUR,E_DAYPOP,n,GIS_ACRES,Year
Lake,33.83287671232877,2016,17.3,(9.1-25.6),06033,1256.487215801172,64076,35633,26194,15561,3554,21799,7528,13122,13028,13627,2967,17775,2348,723,8338,776,2013,981,24.6,13.7,21799,16.3,20.5,20.3,21.5,11.3,27.7,3.9,2,23.4,3,7.7,1.5,0.9649,0.9474,0.7895,0.5965,3.2982,0.8947,0.7895,0.2982,0.9474,0.7719,2.807,0.9825,0.2632,0.3509,0.614,0.2807,0.1053,0.9825,0.2632,0.8421,0.3158,2.5088,0.4912,9.2281,0.7895,9286,14.6,52807,9,4280.170500000001,2016
Los Angeles,88.08469945355195,2016,7.8,(6.6-9.0),06037,4058.183381668448,10057155,3490118,3281845,1764081,460565,29301,1495617,1227202,2296785,984716,328552,7369368,1356170,925645,53701,386393,310206,175462,17.8,8.9,29301,22.3,12.2,22.8,9.9,10,73.3,14.4,26.5,1.5,11.8,9.5,1.7,0.5965,0.4386,0.4035,0.807,2.2456,0.614,0.2281,0.5439,0.1579,0.614,1.5439,0.193,0.9825,0.9298,1.9123000000000001,0.9649,0.9825,0.0877,0.9825,0.9474,0.3509,3.3509,0.9123,9.0526,0.7368,1585437,15.9,10100461,34,48786.20603060001,2016
Madera,69.39344262295084,2016,10.3,(3.3-17.4),06039,2137.11250838252,153366,49844,43574,32043,4872,19021,26930,19711,42662,18497,5316,98479,19819,1318,3168,4080,2872,8041,22.1,8.2,19021,28.3,12.9,27.8,12.7,12.2,64.2,14,2.6,6.4,9.4,6.6,5.2,0.8947,0.3684,0.9649,0.9123,3.1404,0.8246,0.3333,0.8772,0.5088,0.8246,2.5439,0.8421,0.807,0.9123,1.7193,0.8947,0.1404,0.5263,0.8947,0.614,0.8421,3.0175,0.7544,10.4211,0.9123,20801,14.3,145204,5,1289.8673,2016
Marin,38.30054644808744,2016,6.8,(4.5-9.1),06041,520.489162894294,259358,112259,104400,20445,7021,63608,13078,50476,53207,22971,6352,72997,10590,15448,1534,3786,5497,7510,8.1,5.1,63608,6.9,19.5,20.5,9,6.1,28.1,4.3,13.8,1.4,3.6,5.3,2.9,0.0175,0.0175,0,0.0351,0.0702,0,0.7719,0.3158,0.0702,0.1053,1.2632,0.1228,0.2807,0.386,0.6667,0.3333,0.8246,0.0702,0.3509,0.3684,0.6667,2.2807,0.3684,4.2807,0.0702,16231,6.4,244361,2,1.194435,2016
Mariposa,55.97814207650275,2016,9.3,(4.1-14.6),06043,1448.817045605226,17645,10334,7255,2849,780,27832,1426,4381,2918,3110,494,3264,193,148,1999,179,207,1021,16.3,9.8,27832,10.5,24.8,16.5,17.8,6.8,18.5,1.1,1.4,19.3,2.5,2.9,5.8,0.5088,0.5263,0.4912,0.2105,1.7368,0.4386,0.9474,0.0702,0.7544,0.2456,2.0175,0.4737,0.0877,0.0877,0.1754,0.1053,0.0526,0.9298,0.2105,0.0351,0.8947,2.1228,0.2281,6.0526,0.2456,1267,7.3,15514,27,1154.1480786000006,2016
Mendocino,40.3653846153846,2016,9.3,(3.8-14.8),06045,3506.355092410358,87409,40695,34594,17366,4526,25278,8299,16542,19043,14598,3194,29391,4384,1667,4468,1780,2630,2174,20.2,11,25278,13.5,18.9,21.8,16.9,9.2,33.6,5.3,4.1,11,5.1,7.6,2.5,0.7368,0.6842,0.5789,0.4561,2.4561,0.6667,0.7368,0.4737,0.6667,0.5439,2.4211,0.7368,0.3509,0.4386,0.7895,0.4035,0.3509,0.8246,0.4912,0.7895,0.5789,3.0351,0.7895,8.7018,0.6842,10931,12.6,83423,3,100.10539999999999,2016
Merced,63.73497267759564,2016,10.3,(3.8-16.7),06047,1935.210909997212,265001,84140,78270,62661,18143,19130,48345,27736,79805,40059,12166,186882,33243,3219,5217,6976,5964,6252,24.2,15.7,19130,31.4,10.5,30.1,15.3,15.5,70.5,13.7,3.8,6.2,8.9,7.6,2.4,0.9474,0.9825,0.9298,0.9474,3.807,0.9825,0.0702,0.9825,0.6491,0.9825,2.6842,0.9474,0.9649,0.8947,1.8596,0.9298,0.2982,0.4912,0.8421,0.7895,0.5439,2.9649,0.6842,11.3158,0.9825,34099,13,251727,3,1386.7921,2016
Mono,125.02459016393446,2016,9.3,(4.1-14.6),06051,3048.98552849002,14051,14000,4950,1222,665,31059,1486,1856,2783,972,235,4797,1013,2112,893,103,203,318,8.8,8,31059,16,13.2,19.8,7,4.7,34.1,7.5,15.1,6.4,2.1,4.1,2.3,0.0526,0.3509,0.3333,0.5614,1.2982,0.2982,0.3684,0.2105,0,0.0526,0.6316,0,0.386,0.5439,0.9298,0.4561,0.8596,0.5263,0.1579,0.1404,0.5088,2.193,0.2982,5.0526,0.1228,2783,19.9,12971,5,9054.8419,2016
Monterey,43.23497267759565,2016,8.8,(3.7-14.0),06053,3280.581058717452,430201,140169,125916,66289,13288,25947,78716,51553,113889,37848,14099,296575,75593,14659,6074,16138,6089,18398,16.1,6.9,25947,29.1,12,26.5,9.2,11.2,68.9,19,10.5,4.3,12.8,4.8,4.3,0.4737,0.1754,0.5439,0.9298,2.1228,0.5965,0.193,0.7544,0.0877,0.7193,1.7544,0.2632,0.8947,0.9825,1.8772,0.9474,0.7368,0.3158,1,0.2632,0.7895,3.1053,0.8596,8.8596,0.7193,66570,16.1,432697,12,185334.60290000003,2016
Napa,45.21584699453555,2016,NA,NA,06055,748.329752715716,140823,55301,49375,12086,4910,38057,15651,23949,30852,15370,3571,65176,11745,4610,3749,2766,2480,4351,8.8,6.6,38057,16.1,17,21.9,11.1,7.2,46.3,8.8,8.3,6.8,5.6,5,3.1,0.0526,0.1053,0.1053,0.5789,0.8421,0.1404,0.6316,0.4912,0.3509,0.2982,1.7719,0.2982,0.4912,0.6316,1.1228,0.5614,0.6316,0.5789,0.5439,0.3333,0.6842,2.7719,0.614,6.5088,0.3333,12709,9.1,152816,3,5788.2198,2016
Nevada,56.666666666666636,2016,6.2,(2.0-10.4),06057,957.76699958832,98639,53189,40587,11835,3968,33385,4956,23093,17548,14411,2359,14170,1305,2016,2948,769,1876,1211,12.1,8.8,33385,6.7,23.4,17.8,14.8,5.8,14.4,1.4,3.8,5.5,1.9,4.6,1.2,0.2632,0.4211,0.2281,0.0175,0.9298,0.1754,0.8772,0.1404,0.6316,0.0877,1.7368,0.2456,0.0175,0.1404,0.1579,0.0877,0.2632,0.4386,0.1228,0.193,0.1754,1.193,0.0702,4.0175,0.0351,10911,11.2,85693,3,72.4144,2016
Orange,62.10109289617486,2016,6.7,(3.9-9.5),06059,790.621952662396,3132211,1072121,1017012,385556,111106,35939,325372,412701,721172,265805,78296,1817539,319276,200562,29306,90235,47496,43114,12.5,6.8,35939,15.5,13.2,23,8.5,7.7,58,10.8,18.7,2.7,8.9,4.7,1.4,0.2807,0.1404,0.1579,0.5439,1.1228,0.2456,0.3684,0.5965,0.0526,0.3333,1.3509,0.1579,0.6667,0.8246,1.4912,0.7368,0.8772,0.1404,0.8246,0.2281,0.2456,2.3158,0.386,6.2807,0.2807,384240,12.3,3343367,9,478.46580000000006,2016
Placer,53.91803278688523,2016,8.4,(3.9-13.0),06061,1407.084278884998,370571,157888,136730,31932,12582,37914,14879,66179,85141,40461,9489,95351,7183,10419,4398,2958,5392,4024,8.7,7,37914,5.8,17.9,23,11,6.9,25.7,2,6.6,2.8,2.2,3.9,1.1,0.0351,0.193,0.1228,0,0.3509,0.0351,0.6842,0.5614,0.2807,0.2632,1.7895,0.3509,0.2281,0.2281,0.4561,0.2281,0.5263,0.1579,0.193,0.0877,0.1053,1.0702,0.0351,3.6667,0.0175,28326,7.7,371024,9,5967.162030000001,2016
Plumas,46.59718309859153,2016,7.2,(1.2-13.3),06063,2553.061248199286,18754,15693,8376,2346,977,31292,1173,4673,3108,3815,480,3057,170,296,1467,133,546,410,12.8,11.8,31292,8.1,24.9,16.6,20.5,5.7,16.3,1,1.9,9.3,1.6,6.5,2.2,0.3509,0.8246,0.2982,0.0702,1.5439,0.3509,0.9649,0.0877,0.9298,0.0702,2.0526,0.5088,0.0351,0.0526,0.0877,0.0351,0.0877,0.7193,0.0175,0.5439,0.4912,1.8596,0.1754,5.5439,0.1754,1908,10.3,18675,2,260.5727,2016
Riverside,95.02185792349728,2016,10.2,(6.3-14.1),06065,7206.287554202398,2323892,820300,705716,376689,120960,24443,286746,306492,613547,260228,72157,1458261,178936,64673,74205,51310,33534,33394,16.5,11.3,24443,19.5,13.2,26.4,11.3,10.2,62.8,8.3,7.9,9,7.3,4.8,1.4,0.5263,0.7368,0.6316,0.7018,2.5965,0.7018,0.3684,0.7368,0.3684,0.6491,2.1228,0.5439,0.7368,0.5965,1.3333,0.6491,0.5965,0.7018,0.7018,0.2632,0.2807,2.5439,0.5263,8.5965,0.6667,338467,14.7,2108577,7,1776.75989,2016
Sacramento,63.37704918032785,2016,9.6,(6.3-12.8),06067,964.939792890934,1479300,562003,527335,260877,74025,28292,129386,189264,360897,185928,57302,793348,95398,74275,13309,25214,39407,24897,17.9,10.2,28292,13.2,12.8,24.4,12.7,10.9,53.6,6.9,13.2,2.4,4.8,7.5,1.7,0.6316,0.5965,0.4561,0.4386,2.1228,0.5789,0.3158,0.7018,0.5088,0.6842,2.2105,0.6316,0.5965,0.4912,1.0877,0.5088,0.807,0.1228,0.4386,0.7719,0.3333,2.4737,0.4386,7.8947,0.5965,151656,10.4,1565359,5,536.33137,2016
