COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_UNINSUR,EP_UNINSUR,E_DAYPOP,n,GIS_ACRES,Year
Sonoma,35.96994535519125,2016,8.1,(4.5-11.6),06097,1575.851210196548,497776,207058,189043,55095,18297,35639,44790,83344,102675,58655,15118,177210,27323,18354,10175,9606,9138,8833,11.2,7,35639,12.8,16.7,20.6,11.9,8,35.6,5.8,8.9,4.9,5.1,4.8,1.8,0.193,0.193,0.1754,0.4035,0.9649,0.2105,0.614,0.3509,0.4035,0.4035,1.7719,0.3158,0.4035,0.4561,0.8596,0.4211,0.7018,0.3509,0.4737,0.2632,0.386,2.1754,0.2632,5.7719000000000005,0.193,49892,10.1,470284,2,1561.2415,2016
Stanislaus,67.04918032786887,2016,13.4,(7.5-19.2),06099,1496.007315832704,530561,180386,170328,95739,33913,22915,74176,64443,145560,70508,20816,296472,47779,12541,7470,11722,11811,5531,18.2,13.8,22915,22.4,12.1,27.4,13.4,12.2,55.9,9.7,7,4.1,6.9,6.9,1,0.6491,0.9649,0.7193,0.8246,3.1579,0.8421,0.2105,0.8246,0.5614,0.8421,2.4386,0.7719,0.6491,0.7018,1.3509,0.6842,0.5439,0.2807,0.6316,0.6491,0.0877,2.193,0.2807,9.1404,0.7719,60716,11.5,515535,4,241.65349999999998,2016
Sutter,62.773224043715864,2016,8.1,(2.9-13.2),06101,602.417961725898,95406,34102,32028,16535,4836,24335,12742,13795,25180,12692,3612,49656,9121,2868,1789,2159,2090,979,17.5,11.2,24335,20.8,14.5,26.4,13.5,11.3,52,10.3,8.4,5.2,6.7,6.5,1,0.5614,0.7193,0.6491,0.7368,2.6667,0.7368,0.5263,0.7193,0.5789,0.7544,2.5789,0.8596,0.5439,0.7719,1.3158,0.614,0.6491,0.4211,0.614,0.5439,0.0526,2.2807,0.3509,8.8421,0.7018,12398,13.2,86896,1,315.76,2016
Tehama,55.98907103825138,2016,7.3,(2.7-12.0),06103,2949.711327425208,63015,27225,23573,13363,3340,21521,7319,11276,15159,12442,2515,19014,2385,727,5437,1247,1499,886,21.5,12.6,21521,17.1,17.9,24.1,19.9,10.7,30.2,4,2.7,20,5.3,6.4,1.4,0.8246,0.9123,0.807,0.6316,3.1754,0.8596,0.6842,0.6667,0.8421,0.6667,2.8596,1,0.2982,0.3684,0.6667,0.3333,0.1579,0.9474,0.5088,0.5088,0.2632,2.386,0.4035,9.0877,0.7544,6761,10.8,56917,14,1115.1454600000002,2016
Trinity,50.71257485029939,2016,7.2,(1.2-13.3),06105,3179.266262636502,13180,8788,5468,2607,526,22387,951,3181,2277,3058,530,2244,105,82,1911,193,249,306,20.1,9.9,22387,9.3,24.1,17.3,23.5,9.7,17,0.8,0.9,21.7,3.5,4.6,2.3,0.7193,0.5439,0.7368,0.1053,2.1053,0.5439,0.9123,0.1228,1,0.5789,2.614,0.8947,0.0526,0.0175,0.0702,0,0.0175,0.9649,0.3158,0.193,0.5263,2.0175,0.2105,6.807,0.4386,2135,16.4,10761,2,29.642680000000002,2016
Tulare,87.07650273224044,2016,8.6,(4.3-12.9),06107,4824.350780373784,455769,145661,134153,127130,20254,18257,83735,47492,143945,54945,19616,318612,61876,5234,9978,13265,8627,5612,28.3,10.6,18257,31.8,10.4,31.6,12.2,14.6,69.9,14.9,3.6,6.9,9.9,6.4,1.2,1,0.6316,0.9825,0.9649,3.5789,0.9649,0.0351,1,0.4386,0.9474,2.4211,0.7193,0.9474,0.9649,1.9123000000000001,0.9649,0.2456,0.5965,0.9298,0.5088,0.193,2.4737,0.4561,10.386,0.8947,67127,14.9,445516,10,42330.78396,2016
Tuolumne,56.717514124293814,2016,9.3,(4.1-14.6),06109,2220.929779972772,53864,31358,22083,7176,2570,29431,4154,12628,8983,10165,1367,10121,483,726,2988,677,1296,3395,14.2,11.6,29431,10.2,23.4,16.7,20,6.2,18.8,0.9,2.3,9.5,3.1,5.9,6.3,0.4035,0.7544,0.386,0.193,1.7368,0.4211,0.8772,0.1053,0.8772,0.1404,2,0.4386,0.1053,0.0351,0.1404,0.0702,0.1228,0.7368,0.2982,0.4561,0.9298,2.5439,0.5088,6.4211,0.3158,4409,8.7,50970,10,1228.2553687999998,2016
Ventura,58.625683060109296,2016,6.7,(3.3-10.0),06111,1843.015614583878,843110,284759,269338,88486,32651,34331,92033,114620,204168,87687,22890,449809,79050,30171,10908,18811,11988,12185,10.6,7.5,34331,16.6,13.6,24.2,10.5,8.5,53.4,10,10.6,3.8,7,4.5,1.4,0.1404,0.2807,0.2105,0.614,1.2456,0.2632,0.4386,0.6842,0.2281,0.4912,1.8421,0.386,0.5789,0.7544,1.3333,0.6491,0.7544,0.2456,0.6667,0.1754,0.2982,2.1404,0.2456,6.5614,0.3509,103017,12.3,800464,15,2511.425887,2016
Yolo,45.59016393442622,2016,6.6,(1.3-11.9),06113,1014.775152167116,209671,76478,72544,38898,8105,28996,17555,23781,45453,20924,5883,108847,13675,10843,3214,3672,5711,8266,19.3,7.9,28996,14.4,11.3,21.7,10.1,8.1,51.9,6.9,14.2,4.2,5.1,7.9,3.9,0.7018,0.3333,0.4211,0.5263,1.9825,0.4912,0.1228,0.4561,0.2105,0.4386,1.2281,0.1053,0.5263,0.5088,1.0351,0.4912,0.8421,0.2982,0.4561,0.8772,0.7719,3.2456,0.8947,7.4912,0.5439,19648,9.4,214590,3,5978.9709,2016
Alameda,62.64383561643838,2018,8.8,(5.3-12.2),06001,737.299612,1643700,601942,572870,170884,45110,44283,139234,215917,344513,153134,40874,1120309,130524,129403,7220,44166,54816,32288,10.6,5.1,44283,12,13.1,21,9.4,7.1,68.2,8.4,21.5,1.2,7.7,9.6,2,0.2632,0.1579,0.0877,0.4035,0.9123,0.1754,0.2632,0.4035,0.1228,0.3333,1.1228,0.0702,0.8772,0.6316,1.5088,0.7544,0.9298,0.0351,0.7368,0.9649,0.4561,3.1227,0.8421,6.6666,0.3684,83911,5.1,1480381,2,702.3484,2018
Amador,43.41758241758242,2018,13.6,(4.5-22.7),06005,594.5714339,37829,18278,14090,3323,1255,30100,2864,9952,5822,6308,816,8066,399,543,1316,398,773,3682,9.7,8.6,30100,9.7,26.3,15.4,18.5,5.8,21.3,1.1,3,7.2,2.8,5.5,9.7,0.1754,0.7018,0.4912,0.2105,1.5789,0.386,0.9123,0.0351,0.8596,0.1754,1.9824,0.5088,0.1404,0.1053,0.2457,0.1228,0.193,0.5789,0.2105,0.4211,0.9474,2.3509,0.4211,6.1579,0.2807,1449,4.2,36284,1,824.978,2018
Butte,73.16164383561649,2018,11,(4.1-17.9),06007,1636.4694605,227075,98743,86797,44410,9085,27537,15823,40219,45658,38146,6845,62685,5363,7374,12863,2757,6232,6064,20.1,8.7,27537,10.7,17.7,20.1,17,7.9,27.6,2.5,7.5,13,3.2,7.2,2.7,0.807,0.7544,0.5965,0.2807,2.4386,0.6491,0.614,0.2632,0.7719,0.4737,2.1228,0.5789,0.2456,0.2807,0.5263,0.2632,0.5789,0.8772,0.2456,0.8246,0.614,3.1403,0.8596,8.228,0.614,16561,7.4,215129,6,155142.31979999997,2018
Calaveras,63.28846153846156,2018,13.6,(4.5-22.7),06009,1020.0155378,45235,27988,17417,5242,1116,32494,3332,12214,7768,9603,1131,8330,314,328,2069,349,431,499,11.7,6.1,32494,9.6,27,17.2,21.4,6.5,18.4,0.7,1.2,7.4,2,2.5,1.1,0.3333,0.2807,0.386,0.1579,1.1579,0.2632,0.9825,0.1404,0.9825,0.2632,2.3686,0.7368,0.0702,0.0351,0.1053,0.0351,0.0175,0.6316,0.0877,0.0175,0.0877,0.842,0,4.4738,0.1053,2333,5.2,33492,7,12295.98925,2018
Colusa,56.052054794520544,2018,11.8,(4.9-18.6),06011,1150.7124795,21464,8004,7113,2929,520,27336,4174,2966,5883,2629,942,13792,3184,219,577,494,386,207,13.8,5.1,27336,30.6,13.8,27.4,12.3,13.2,64.3,16,2.7,7.2,6.9,5.4,1,0.4211,0.1579,0.6316,0.9649,2.1755,0.5439,0.3509,0.8596,0.4386,0.9123,2.5614,0.8246,0.7544,0.9649,1.7193,0.8947,0.1404,0.5789,0.6491,0.3684,0.0351,1.7719,0.1228,8.2281,0.6316,2203,10.3,21382,2,425398.9,2018
Contra Costa,59.81643835616441,2018,11.8,(7.9-15.7),06013,717.0813939,1133247,411338,392277,102543,35563,45524,82574,169782,261300,126742,31873,630296,69152,51040,6959,18938,21438,10038,9.1,6.1,45524,10.6,15,23.1,11.2,8.1,55.6,6.5,12.4,1.7,4.8,5.5,0.9,0.1228,0.2807,0.0702,0.2632,0.7369,0.1053,0.4912,0.6491,0.2982,0.4912,1.9297,0.4211,0.6316,0.5088,1.1404,0.5614,0.7719,0.0877,0.4211,0.4211,0.0175,1.7193,0.1053,5.5263,0.1754,64189,5.7,890420,1,247.05,2018
Del Norte,33.95555555555556,2018,13.2,(5.0-21.5),06015,1006.2273655,27424,11373,9799,5458,796,22832,3684,4585,5954,5121,859,10252,434,364,2207,459,942,3110,22.5,8.3,22832,19,16.7,21.7,21,8.8,37.4,1.7,3.2,19.4,4.7,9.6,11.3,0.9298,0.6316,0.8596,0.7018,3.1228,0.8421,0.5789,0.5088,0.9649,0.5439,2.5965,0.8596,0.4211,0.193,0.6141,0.2982,0.2105,0.9298,0.4035,0.9649,0.9825,3.4912,0.9825,9.8246,0.8772,1533,6.3,24903,2,38122.737890000004,2018
El Dorado,58.08493150684932,2018,6.7,(1.6-11.8),06017,1707.8412963,186661,89763,69172,16537,5480,40382,9299,36751,38016,24687,3829,40671,3079,4353,4913,1532,2850,1780,8.9,6.2,40382,6.9,19.7,20.4,13.3,5.5,21.8,1.7,4.8,5.5,2.2,4.1,1,0.1053,0.3509,0.1404,0.0877,0.6843,0.0877,0.7193,0.3509,0.5789,0.1053,1.7544,0.2982,0.1579,0.193,0.3509,0.1579,0.4211,0.4211,0.1404,0.1053,0.0351,1.123,0.0351,3.9126,0.0351,9656,5.2,146428,5,594.4578,2018
Fresno,82.30410958904109,2018,13.3,(7.9-18.7),06019,5958.0959769,978130,328577,304624,232067,41276,23284,147389,114438,279979,126139,43943,686675,108140,23756,12508,28262,25805,16750,24.1,9.4,23284,24.7,11.7,28.6,13,14.4,70.2,12,7.2,3.8,9.3,8.5,1.7,0.9649,0.8596,0.807,0.8421,3.4736,0.9298,0.0877,0.9298,0.5088,0.9649,2.4912,0.7719,0.9123,0.8772,1.7895,0.9123,0.5439,0.2456,0.8772,0.9298,0.3509,2.9474,0.7368,10.7017,0.9298,92035,9.5,882148,16,2258.12242,2018
Glenn,46.17906336088153,2018,11.8,(4.9-18.6),06021,1313.9669943,27897,10973,10017,5152,806,21736,4426,4300,7470,4622,923,13390,2579,438,1144,386,484,311,18.8,6.8,21736,24.7,15.4,26.8,16.8,9.2,48,10,4,10.4,3.9,4.8,1.1,0.7193,0.4737,0.9123,0.8421,2.9474,0.7719,0.5439,0.7895,0.7193,0.5789,2.6316,0.9298,0.5088,0.7544,1.2632,0.5965,0.3333,0.7895,0.3684,0.2456,0.0877,1.8245,0.1404,8.6667,0.6842,2644,9.6,23520,4,412651.0924,2018
Humboldt,39.271232876712325,2018,11.6,(4.1-19.1),06023,3568.1722238,135768,62826,54267,26957,5327,26747,8878,22647,26259,21941,5088,34463,2500,2666,5565,2085,4133,4140,20.3,8,26747,9.7,16.7,19.3,16.3,9.4,25.4,1.9,4.2,8.9,3.8,7.6,3,0.8246,0.5965,0.6667,0.2105,2.2983,0.614,0.5789,0.2105,0.7018,0.6316,2.1228,0.5789,0.2105,0.2632,0.4737,0.2105,0.3684,0.7018,0.3509,0.9123,0.7018,3.0352,0.7895,7.93,0.5965,13055,9.7,126832,6,4038.0772400000005,2018
Inyo,62.42465753424658,2018,13.6,(4.5-22.7),06027,10180.9338418,18085,9540,8083,1792,447,31540,1478,4148,3635,2489,527,6696,460,369,2084,156,552,647,10.2,5.2,31540,11.2,22.9,20.1,14.1,6.5,37,2.7,3.9,21.8,1.9,6.8,3.6,0.193,0.2281,0.4386,0.3333,1.193,0.2807,0.807,0.2632,0.6316,0.2632,1.965,0.4737,0.4035,0.2982,0.7017,0.386,0.3158,0.9649,0.0702,0.7018,0.7544,2.8071,0.6842,6.6668,0.386,1125,6.4,16860,3,6271.969999999999,2018
Kern,90.6958904109589,2018,9.9,(5.4-14.5),06029,8132.2564363,883053,295756,267913,187232,39056,22553,139584,92005,257750,95441,35604,576023,84735,15490,21557,24792,18281,31126,22,10.3,22553,26.2,10.4,29.2,11.2,13.3,65.2,10.4,5.2,7.3,9.3,6.8,3.5,0.9123,0.9298,0.8772,0.8772,3.5965,0.9474,0.0175,0.9649,0.2982,0.9298,2.2104,0.6316,0.7895,0.807,1.5965,0.8596,0.4386,0.614,0.8772,0.7018,0.7368,3.3684,0.9298,10.7718,0.9649,77216,9,771878,23,4867.580055,2018
Kings,75.65479452054794,2018,10.3,(4.1-16.5),06031,1390.3084462,150075,45792,42735,28084,4855,21186,24270,14567,40935,16568,6397,101017,13829,2919,1938,3483,2730,14912,20.8,8.4,21186,26.3,9.7,27.3,12.4,15,67.3,10,6.4,4.2,8.2,6.4,9.9,0.8421,0.6667,0.9649,0.8947,3.3684,0.9123,0,0.8421,0.4561,1,2.2982,0.6667,0.8246,0.7544,1.579,0.8421,0.5088,0.2982,0.7895,0.6491,0.9649,3.2105,0.8947,10.4561,0.8947,10946,8.2,132084,2,73.3264,2018
Lake,34.72268907563026,2018,9.6,(3.8-15.3),06033,1256.5165708,64148,35067,25966,13224,2556,25404,6872,13941,13290,12766,2427,18525,2087,974,8028,842,1781,997,21,9.8,25404,14.8,21.7,20.7,20.1,9.3,28.9,3.5,2.8,22.9,3.2,6.9,1.6,0.8772,0.9123,0.7368,0.5614,3.0877,0.8246,0.7895,0.3684,0.9123,0.614,2.6842,0.9825,0.2807,0.3509,0.6316,0.3333,0.1579,0.9825,0.2456,0.7544,0.3158,2.4562,0.4737,8.8597,0.7193,6005,9.5,51918,9,474659.97505999997,2018
Los Angeles,87.57260273972601,2018,7.9,(6.5-9.4),06037,4058.1913941,10098052,3524321,3306109,1589956,357178,32469,1460718,1299277,2246521,993035,309423,7439000,1297024,943920,56280,378286,298364,177480,16,6.8,32469,21.3,12.9,22.2,9.9,9.4,73.7,13.7,26.8,1.6,11.4,9,1.8,0.5789,0.4737,0.4035,0.7895,2.2456,0.5789,0.2456,0.5439,0.1754,0.6316,1.5965,0.2281,0.9825,0.9123,1.8948,0.9649,0.9825,0.0702,0.9825,0.9474,0.386,3.3686,0.9474,9.1055,0.7719,1086657,10.8,8152241,27,95053.04197179999,2018
Madera,64.65753424657535,2018,11.8,(3.6-20.0),06039,2136.9268752,155013,50362,44759,30549,5243,21394,27278,20797,42814,19408,5040,101482,18907,1458,3116,4010,2675,8179,20.8,8.3,21394,28.1,13.4,27.6,13.2,11.3,65.5,13.2,2.9,6.2,9,6,5.3,0.8421,0.6316,0.9474,0.9123,3.3334,0.8947,0.3158,0.8947,0.5263,0.807,2.5438,0.807,0.807,0.8947,1.7017,0.8772,0.1754,0.4912,0.8421,0.5614,0.8421,2.9122,0.7018,10.4911,0.9123,13784,9.4,134591,4,14299.7961,2018
Marin,48.479452054794535,2018,6.4,(2.2-10.5),06041,520.4565338,260295,112868,105258,19341,5149,69275,12883,54625,52908,22811,6528,74486,9959,15406,1367,4284,5130,7573,7.6,3.8,69275,6.8,21,20.3,8.9,6.2,28.6,4,13.6,1.2,4.1,4.9,2.9,0.0175,0.0175,0,0.0702,0.1052,0,0.7719,0.3333,0.0702,0.2105,1.3859,0.1228,0.2632,0.386,0.6492,0.3509,0.8246,0.0351,0.386,0.2632,0.6667,2.1756,0.3333,4.3159,0.0877,10252,4,229726,1,1.35455,2018
Mariposa,68.7342465753424,2018,13.6,(4.5-22.7),06043,1448.8370017,17540,10388,7700,2435,676,29776,1316,4690,2865,3200,418,3415,199,208,1970,168,248,1109,14,8.7,29776,9.6,26.7,16.3,18.4,5.4,19.5,1.2,2,19,2.2,3.2,6.3,0.4561,0.7544,0.5088,0.1579,1.8772,0.4561,0.9474,0.0702,0.8246,0.0877,1.9299,0.4386,0.0877,0.1404,0.2281,0.1053,0.0702,0.9123,0.1404,0.0526,0.9123,2.0878,0.2281,6.123,0.2456,844,4.9,15144,6,101953.16059999999,2018
Mendocino,51.24725274725272,2018,5.3,(1.2-9.4),06045,3506.3569959,87422,40909,34090,15877,3837,27395,8101,17845,18891,14566,3288,30108,4402,1646,4027,1725,2138,2230,18.5,9.2,27395,13.1,20.4,21.6,16.8,9.6,34.4,5.4,4,9.8,5.1,6.3,2.6,0.7018,0.8246,0.614,0.4912,2.6316,0.7018,0.7544,0.4737,0.7193,0.6842,2.6316,0.9298,0.3509,0.4386,0.7895,0.4211,0.3333,0.7544,0.4561,0.6316,0.5965,2.7719,0.6491,8.8246,0.7018,8065,9.3,79951,3,460061.684,2018
Merced,65.17260273972602,2018,9.8,(2.6-17.1),06047,1935.6455211,269075,84795,79606,59660,14912,21634,48433,29320,80062,36206,11537,193067,34066,3236,5216,7611,5801,5926,22.7,12.7,21634,30.6,10.9,29.8,13.6,14.5,71.8,13.7,3.8,6.2,9.6,7.3,2.2,0.9474,0.9649,0.9298,0.9649,3.807,0.9825,0.0351,0.9825,0.5965,0.9825,2.5966,0.8947,0.9649,0.9123,1.8772,0.9298,0.2807,0.4912,0.9123,0.8421,0.4912,3.0175,0.7544,11.2983,0.9825,23145,8.7,233145,3,6305.05504,2018
Mono,45.87671232876714,2018,13.6,(4.5-22.7),06051,3048.9851335,14174,14078,4847,1454,262,33421,1131,2030,2689,915,253,4940,590,1754,722,67,127,334,10.4,3.1,33421,11.3,14.3,19,6.5,5.2,34.9,4.3,12.5,5.1,1.4,2.6,2.4,0.2281,0,0.3333,0.3509,0.9123,0.1754,0.4035,0.193,0,0.0526,0.6491,0,0.3684,0.4035,0.7719,0.4035,0.7895,0.4035,0.0526,0.0351,0.5439,1.8246,0.1579,4.1579,0.0702,2335,16.6,12924,4,7729.0035,2018
Monterey,44.545205479452044,2018,5.3,(2.5-8.2),06053,3281.7191083,433212,141155,126052,58699,10475,28836,78816,55515,114125,37176,13019,301974,75432,14534,6567,17221,5984,17741,14.1,5.4,28836,28.7,12.8,26.3,8.9,10.3,69.7,18.8,10.3,4.7,13.7,4.7,4.1,0.4737,0.2456,0.5439,0.9298,2.193,0.5614,0.2105,0.7544,0.0702,0.7368,1.7719,0.3333,0.8947,0.9825,1.8772,0.9298,0.7368,0.3684,1,0.2105,0.7895,3.1052,0.807,8.9473,0.7368,46650,11.2,396147,8,3859.8578,2018
Napa,50.373626373626365,2018,13.8,(3.4-24.2),06055,748.3097634,140530,55557,49032,11168,3728,42677,14670,25360,29894,16313,3439,66371,11182,4946,3563,3083,2454,4106,8.1,5,42677,14.9,18,21.3,11.8,7,47.2,8.4,8.9,6.4,6.3,5,2.9,0.0702,0.1404,0.1053,0.5789,0.8948,0.1579,0.6316,0.4386,0.3684,0.3158,1.7544,0.2982,0.4912,0.6316,1.1228,0.5263,0.6842,0.5263,0.5439,0.2982,0.6667,2.7193,0.6316,6.4913,0.3333,9015,6.5,141759,8,92581.12391000001,2018
Nevada,55.1460055096419,2018,9.4,(2.3-16.6),06057,957.759727,99092,53654,40904,11169,2971,37145,4386,25177,17189,14614,2506,14622,1006,2020,3408,808,1689,1230,11.4,6.4,37145,5.8,25.4,17.3,14.9,6.1,14.8,1.1,3.8,6.4,2,4.1,1.2,0.2982,0.4035,0.2105,0.0175,0.9297,0.2105,0.8596,0.1579,0.6667,0.193,1.8772,0.386,0.0175,0.1053,0.1228,0.0526,0.2807,0.5263,0.0877,0.1053,0.1754,1.1754,0.0526,4.1051,0.0526,7605,7.8,81264,1,8.58183,2018
Orange,59.57808219178082,2018,5.7,(3.1-8.3),06059,792.7812169,3164182,1091376,1032373,359503,84431,39590,320340,440488,711188,269618,76115,1868146,304940,205967,30227,91513,45380,43395,11.5,5.1,39590,14.9,13.9,22.5,8.6,7.4,59,10.2,18.9,2.8,8.9,4.4,1.4,0.3158,0.1579,0.1754,0.5789,1.228,0.2982,0.386,0.5789,0.0526,0.4035,1.421,0.1579,0.6667,0.7895,1.4562,0.7193,0.8772,0.1404,0.8246,0.193,0.2456,2.2808,0.386,6.386,0.3158,265673,8.4,2870555,21,23369.998722730008,2018
Placer,54.12876712328771,2018,7.9,(3.4-12.4),06061,1407.0812723,380077,161846,140661,30293,9005,41508,14403,71099,85719,40330,8742,101697,6453,11592,4488,2924,5405,4171,8,4.9,41508,5.4,18.7,22.6,10.7,6.2,26.8,1.8,7.2,2.8,2.1,3.8,1.1,0.0526,0.1228,0.1228,0,0.2982,0.0175,0.6667,0.6316,0.2281,0.2105,1.7369,0.2807,0.2281,0.2456,0.4737,0.2105,0.5439,0.1404,0.1228,0.0702,0.0877,0.965,0.0175,3.4738,0.0175,17902,4.7,355423,8,1947.2583600000003,2018
Plumas,49.80857142857142,2018,13.2,(5.0-21.5),06063,2553.0612154,18699,15772,8047,2146,516,32710,874,4988,3063,3411,443,3128,168,230,1895,74,453,392,11.7,6.4,32710,6.1,26.7,16.4,18.4,5.5,16.7,0.9,1.5,12,0.9,5.6,2.1,0.3333,0.4035,0.3509,0.0351,1.1228,0.2456,0.9474,0.0877,0.8246,0.1053,1.965,0.4737,0.0351,0.0877,0.1228,0.0526,0.0351,0.8421,0.0175,0.5088,0.4737,1.8772,0.1754,5.0878,0.1404,647,3.5,18101,5,153822.03809999998,2018
Riverside,95.22739726027393,2018,9.1,(6.5-11.7),06065,7206.55578,2383286,833602,718349,345724,94709,27142,280295,328609,613808,269797,67737,1526818,181074,65164,73479,49586,30713,35103,14.7,8.6,27142,18.3,13.8,25.8,11.4,9.4,64.1,8.1,7.8,8.8,6.9,4.3,1.5,0.5088,0.7018,0.6491,0.6842,2.5439,0.6667,0.3509,0.7193,0.3333,0.6316,2.0351,0.5263,0.7368,0.5965,1.3333,0.6491,0.5965,0.6842,0.6491,0.1579,0.2807,2.3684,0.4386,8.2807,0.6491,237305,10,1882391,10,38612.512500000004,2018
Sacramento,68.73424657534247,2018,11.4,(7.9-14.9),06067,965.444539,1510023,567220,536029,235982,54551,31311,127852,202207,362761,181448,54489,827523,92841,74373,13311,26304,37651,24421,15.8,7.4,31311,12.6,13.4,24,12.1,10.2,54.8,6.6,13.1,2.3,4.9,7,1.6,0.5439,0.5439,0.4737,0.4561,2.0176,0.4912,0.3158,0.6842,0.386,0.7018,2.0878,0.5614,0.5965,0.5263,1.1228,0.5263,0.807,0.1228,0.4386,0.7719,0.3158,2.4561,0.4561,7.6843,0.5614,94295,6.3,1300701,4,399.6909,2018
San Benito,46.21917808219179,2018,NA,NA,06069,1388.6509764,59416,18614,17740,5459,2294,31475,7658,7194,15603,5562,1952,38636,5178,616,852,1465,424,276,9.2,7.4,31475,20.1,12.1,26.3,9.4,11,65,9.3,3.3,4.6,8.3,2.4,0.5,0.1404,0.5439,0.4561,0.7368,1.8772,0.4561,0.1404,0.7544,0.1228,0.7719,1.7895,0.3684,0.7719,0.7018,1.4737,0.7368,0.2281,0.3509,0.807,0,0,1.386,0.0877,6.5264,0.3509,4366,7.4,42121,9,2715.2127000000005,2018
San Bernardino,100.40821917808222,2018,9.6,(6.1-13.1),06071,20059.889101,2135413,716171,630633,359080,85647,23956,272865,233343,572852,227837,76906,1512151,159507,64444,40426,56480,32180,56827,17.3,8.8,23956,20.5,10.9,26.8,10.9,12.2,70.8,8.1,9,5.6,9,5.1,2.7,0.6667,0.807,0.7719,0.7544,3,0.7895,0.0351,0.7895,0.2456,0.8772,1.9474,0.4561,0.9298,0.5965,1.5263,0.7719,0.7193,0.4386,0.8421,0.3158,0.614,2.9298,0.7193,9.4035,0.8246,195347,9.4,1790098,8,1760.6184,2018
San Diego,71.84931506849314,2018,8.5,(7.0-10.1),06073,4208.7625312,3302833,1204884,1118980,403190,106962,36156,286008,439595,726344,314897,92411,1787453,216965,255366,42081,75015,61486,89451,12.5,6.4,36156,12.9,13.3,22,9.8,8.3,54.1,7,21.2,3.5,6.7,5.5,2.7,0.3684,0.4035,0.2456,0.4737,1.4912,0.3684,0.2807,0.5263,0.1579,0.5088,1.4737,0.1754,0.5614,0.5439,1.1053,0.5088,0.9123,0.2281,0.614,0.4211,0.614,2.7895,0.6667,6.8597,0.4211,279602,8.7,2933894,16,1506.9213499000002,2018
San Joaquin,68.20547945205482,2018,12.6,(6.8-18.4),06077,1392.3854182,732212,241055,226727,114294,28989,26145,96905,89461,201506,89397,26630,494325,62038,20238,8143,16525,14450,15994,15.9,8.7,26145,21.1,12.2,27.5,12.4,11.7,67.5,9.1,8.4,3.4,7.3,6.4,2.2,0.5614,0.7544,0.6842,0.7719,2.7719,0.7368,0.1579,0.8772,0.4561,0.8421,2.3333,0.6842,0.8421,0.6842,1.5263,0.7719,0.614,0.2105,0.6842,0.6491,0.4912,2.649,0.5614,9.2805,0.7895,53972,7.5,633854,2,11823.2354,2018
San Luis Obispo,55.30136986301368,2018,5.4,(2.2-8.6),06079,3300.6361615,281455,121095,105317,35303,6175,35832,17123,52758,50492,31615,6938,86881,9045,7329,9630,3482,4557,16435,13.3,4.6,35832,9.1,18.7,17.9,11.5,6.6,30.9,3.4,6.1,8,3.3,4.3,5.8,0.386,0.0526,0.2632,0.1053,0.8071,0.1404,0.6667,0.1754,0.3509,0.2982,1.4912,0.193,0.2982,0.3333,0.6315,0.3158,0.4912,0.6491,0.2982,0.1579,0.8947,2.4911,0.4912,5.4209,0.1579,20715,7.5,265934,19,1527.552645,2018
Santa Barbara,52.205479452054796,2018,NA,NA,06083,2735.1376212,443738,156210,144962,63010,13861,34229,52042,64775,99117,43333,12768,244382,45552,21169,6950,15410,8052,19863,14.8,6.1,34229,19,14.6,22.3,9.9,8.8,55.1,11,13.6,4.4,10.6,5.6,4.5,0.5263,0.2807,0.2807,0.7018,1.7895,0.4386,0.4211,0.5614,0.1754,0.5439,1.7018,0.2632,0.614,0.8421,1.4561,0.7018,0.8246,0.3333,0.9649,0.5088,0.807,3.4386,0.9649,8.386,0.6667,46478,10.6,422373,9,1990.9919999999997,2018
